,0
0,0
1,5
2,438
3,784
4,375
5,62
6,534
7,633
8,847
9,214
10,578
11,688
12,165
13,842
14,177
15,800
16,166
17,506
18,155
19,735
20,48
21,678
22,437
23,151
24,298
25,80
26,365
27,86
28,420
29,262
30,713
31,939
32,361
33,999
34,100
35,494
36,975
37,474
38,841
39,778
40,987
41,104
42,135
43,336
44,9
45,922
46,785
47,53
48,960
49,550
50,491
51,559
52,749
53,276
54,656
55,703
56,12
57,684
58,529
59,114
60,670
61,693
62,274
63,548
64,892
65,443
66,958
67,647
68,610
69,593
70,531
71,751
72,675
73,765
74,107
75,335
76,793
77,734
78,22
79,993
80,181
81,125
82,773
83,707
84,849
85,636
86,779
87,821
88,186
89,103
90,836
91,464
92,446
93,161
94,648
95,952
96,708
97,674
98,722
99,711
100,851
101,78
102,488
103,810
104,796
105,792
106,613
107,775
108,66
109,17
110,594
111,561
112,511
113,319
114,213
115,281
116,554
117,238
118,19
119,440
120,218
121,120
122,469
123,772
124,540
125,929
126,81
127,137
128,92
129,431
130,994
131,816
132,741
133,829
134,973
135,925
136,417
137,627
138,303
139,638
140,418
141,893
142,667
143,891
144,764
145,237
146,862
147,941
148,716
149,986
150,701
151,497
152,882
153,989
154,696
155,916
156,482
157,940
158,657
159,449
160,58
161,144
162,205
163,586
164,978
165,979
166,520
167,373
168,344
169,146
170,35
171,102
172,695
173,41
174,287
175,710
176,175
177,283
178,395
179,441
180,292
181,426
182,138
183,729
184,861
185,247
186,21
187,178
188,143
189,235
190,485
191,261
192,459
193,49
194,612
195,30
196,188
197,635
198,834
199,43
200,690
201,790
202,637
203,242
204,917
205,392
206,95
207,596
208,133
209,436
210,870
211,457
212,34
213,378
214,575
215,116
216,632
217,908
218,869
219,453
220,833
221,943
222,234
223,374
224,203
225,88
226,458
227,31
228,977
229,630
230,54
231,954
232,145
233,567
234,885
235,871
236,643
237,835
238,119
239,573
240,804
241,742
242,223
243,928
244,67
245,252
246,714
247,217
248,432
249,267
250,87
251,211
252,539
253,314
254,874
255,923
256,587
257,739
258,169
259,507
260,240
261,660
262,7
263,910
264,329
265,326
266,824
267,763
268,589
269,257
270,524
271,747
272,527
273,733
274,598
275,390
276,174
277,253
278,551
279,272
280,858
281,10
282,487
283,827
284,73
285,404
286,544
287,516
288,343
289,327
290,4
291,245
292,823
293,950
294,700
295,414
296,859
297,201
298,323
299,730
300,131
301,490
302,352
303,96
304,225
305,284
306,277
307,888
308,52
309,207
310,184
311,887
312,357
313,358
314,294
315,495
316,61
317,2
318,76
319,569
320,920
321,957
322,286
323,196
324,717
325,306
326,689
327,723
328,56
329,258
330,562
331,434
332,382
333,918
334,901
335,909
336,285
337,673
338,150
339,97
340,990
341,867
342,239
343,271
344,572
345,886
346,256
347,354
348,720
349,907
350,760
351,127
352,581
353,672
354,771
355,868
356,320
357,350
358,897
359,348
360,658
361,671
362,171
363,121
364,301
365,875
366,486
367,168
368,269
369,445
370,6
371,782
372,402
373,525
374,332
375,664
376,141
377,606
378,337
379,665
